id,op,in_lat,in_lon,expect_lat,expect_lon,note
bbox_ne_inside_gcj02_to_bd09,gcj02_to_bd09,55.8271,137.8347,55.8328104733881787,137.8413385963422684,bbox inclusive NE corner
bbox_ne_inside_bd09_to_gcj02,bd09_to_gcj02,55.8271,137.8347,55.8214692476885901,137.8280311750710894,bbox inclusive NE corner
bbox_ne_inside_wgs84_to_bd09,wgs84_to_bd09,55.8271,137.8347,55.8296181121592952,137.8437285497553262,bbox inclusive NE corner
bbox_ne_inside_bd09_to_wgs84,bd09_to_wgs84,55.8271,137.8347,55.8189366517820957,137.8189723061459517,bbox inclusive NE corner
bbox_ne_outside_wgs84_to_gcj02,wgs84_to_gcj02,55.8271,137.8348,55.8271000000000015,137.8348000000000013,just east of bbox
bbox_ne_outside_gcj02_to_wgs84,gcj02_to_wgs84,55.8271,137.8348,55.8271000000000015,137.8348000000000013,just east of bbox
bbox_ne_outside_gcj02_to_bd09,gcj02_to_bd09,55.8271,137.8348,55.8271000000000015,137.8348000000000013,just east of bbox
bbox_ne_outside_bd09_to_gcj02,bd09_to_gcj02,55.8271,137.8348,55.8271000000000015,137.8348000000000013,just east of bbox
bbox_ne_outside_wgs84_to_bd09,wgs84_to_bd09,55.8271,137.8348,55.8271000000000015,137.8348000000000013,just east of bbox
bbox_ne_outside_bd09_to_wgs84,bd09_to_wgs84,55.8271,137.8348,55.8271000000000015,137.8348000000000013,just east of bbox
